Participant_ID,Count,Pointing_Technique,Width,Click_Offset_X,Click_Offset_Y,Right_Target_Clicked,X_Distance,Y_Distance,Time,Fitts_ID,Fitts_Performance,Target_Distance,Timestamp
1,1,True,19,0,0,True,-175,-117,271,5.3780078348566684,19.845047361094718,395.0620204474229,2019-05-29T08:42:45
1,2,False,19,-3,-7,True,797,24,92,6.691906735510531,72.73811669033186,982.1736099081465,2019-05-29T08:42:46
1,3,True,94,0,0,True,267,-266,94,3.6984603185376677,39.345322537634765,610.1622734977966,2019-05-29T08:42:47
1,4,False,94,-2,-6,True,270,208,90,3.3341832921522463,37.04648102391385,474.00949357581436,2019-05-29T08:42:48
1,5,True,19,0,0,True,-245,189,142,5.767777709779004,40.618152885767635,517.6040958106881,2019-05-29T08:42:49
1,6,False,19,-9,-7,True,-412,-248,117,5.621890283936439,48.050344307149054,467.8226159560908,2019-05-29T08:42:50
1,7,True,94,0,0,True,-586,-272,82,1.9815193295618707,24.16486987270574,185.60711193270586,2019-05-29T08:42:50
1,8,False,94,6,0,True,-209,-395,74,3.076798091284631,41.57835258492745,396.5576881110742,2019-05-29T08:42:51
1,9,True,19,0,0,True,-88,-475,120,3.9818203152070453,33.18183596005871,150.0966355385756,2019-05-29T08:42:52
1,10,False,19,7,-6,True,-353,59,107,5.9715759995474285,55.809121491097464,596.1384067479631,2019-05-29T08:42:53
1,11,True,94,0,0,True,-705,94,18,2.880942633651274,160.0523685361819,346.2166951491508,2019-05-29T08:42:54
1,12,False,94,14,-16,True,158,-392,60,4.397332217153842,73.28887028589737,990.4367723383457,2019-05-29T08:42:55
1,13,True,19,0,0,True,-389,363,113,6.583630878533536,58.26222016401359,911.1586030982751,2019-05-29T08:42:56
1,14,False,19,7,-8,True,-797,378,93,5.4254721749499835,58.338410483333156,408.2756421830722,2019-05-29T08:42:58
1,15,True,94,0,0,True,-415,-119,72,3.7615857318855754,52.244246276188555,637.4527433465166,2019-05-29T08:42:59
1,16,False,94,-19,14,True,405,-117,75,4.124895538996012,54.99860718661349,820.002439020763,2019-05-29T08:42:59
1,17,True,19,0,0,True,622,-245,138,4.587953579728719,33.2460404328168,228.47319317591726,2019-05-29T08:43:01
1,18,False,19,-4,-5,True,-723,-72,157,7.157299467373499,45.587894696646494,1356.0803810984066,2019-05-29T08:43:02
1,19,True,94,0,0,True,338,-165,108,4.497345095795742,41.64208422033094,1061.5333249597018,2019-05-29T08:43:03
1,20,False,94,-30,0,True,-560,300,82,4.427336855018555,53.991912866079936,1011.2512051908764,2019-05-29T08:43:04
1,21,True,19,0,0,True,-643,442,201,4.2556956457503246,21.172615152986687,181.47451611727746,2019-05-29T08:43:05
1,22,False,19,4,-3,True,-116,-311,93,6.596144699376458,70.92628709006944,919.0962952814031,2019-05-29T08:43:06
1,23,True,94,0,0,True,333,360,61,4.102039788031604,67.24655390215744,807.1139944270574,2019-05-29T08:43:08
1,24,False,94,-31,12,True,-528,-160,69,4.419601181058266,64.05219102982994,1005.8434271793996,2019-05-29T08:43:09
1,25,True,19,0,0,True,831,251,150,7.196818898069814,47.978792653798756,1393.7406501928542,2019-05-29T08:43:11
1,26,False,19,-7,-4,True,-535,-233,107,7.253124253238367,67.78620797419035,1449.2108197222376,2019-05-29T08:43:13
1,27,True,94,0,0,True,831,286,93,4.950536553419006,53.23157584321512,1453.3086389339328,2019-05-29T08:43:13
1,28,False,94,10,-5,True,283,-147,98,3.893365913093111,39.72822360299093,698.4217923289622,2019-05-29T08:43:15
1,29,True,19,0,0,True,63,-74,243,4.538244964456554,18.675905203524916,220.7351353998724,2019-05-29T08:43:16
1,30,False,19,-2,-5,True,-130,271,139,5.378931609132833,38.6973497059916,395.3150642209325,2019-05-29T08:43:17
1,31,True,94,0,0,True,242,228,63,2.9888317192132976,47.441773320845996,373.1005226477176,2019-05-29T08:43:18
1,32,False,94,-13,2,True,73,380,91,2.273860973279775,24.98748322285467,227.29936207565564,2019-05-29T08:43:19
1,33,True,19,0,0,True,-406,300,285,5.712493137266608,20.04383556935652,498.14455733250765,2019-05-29T08:43:20
1,34,False,19,2,0,True,-39,328,100,5.275895398097521,52.758953980975214,368.06657006579667,2019-05-29T08:43:21
1,35,True,94,0,0,True,268,-400,99,4.0726959634364,41.13834306501414,790.8634521837508,2019-05-29T08:43:23
1,36,False,94,-37,17,True,574,-76,83,3.2452077816100657,39.098888935061034,445.6590625130381,2019-05-29T08:43:24
1,37,True,19,0,0,True,-656,-444,48,7.112612899749307,148.1794354114439,1314.7205026164306,2019-05-29T08:43:25
1,38,False,19,0,4,True,-211,329,98,6.552872653784687,66.86604748759883,891.9383386759423,2019-05-29T08:43:28
1,39,True,94,0,0,True,259,-66,76,3.701328003546126,48.70168425718587,611.3763161915908,2019-05-29T08:43:29
1,40,False,94,-3,-3,True,-235,124,131,3.493295082859512,26.666374678316885,529.2787545329966,2019-05-29T08:43:30
2,1,False,19,-4,-4,True,-940,227,140,6.663645689063766,47.59746920759832,963.120968518493,2019-05-29T08:45:27
2,2,True,94,0,0,True,-275,-258,64,4.128787824851793,64.51230976330926,822.217732720476,2019-05-29T08:45:28
2,3,False,94,0,-26,True,-126,121,107,3.1151360955871623,29.11342145408563,407.23703171494606,2019-05-29T08:45:29
2,4,True,19,0,0,True,-178,-207,244,5.235077330632933,21.455234961610383,357.7988261579403,2019-05-29T08:45:30
2,5,False,19,-3,-3,True,-187,-366,91,4.067262935432389,44.69519709266361,159.25451327984396,2019-05-29T08:45:31
2,6,True,94,0,0,True,169,-308,80,2.926237733075933,36.57797166344916,357.2590096834508,2019-05-29T08:45:32
2,7,False,94,-18,-3,True,-331,-379,70,3.4255959811258747,48.937085444655345,505.01584133569514,2019-05-29T08:45:33
2,8,True,19,0,0,True,885,-21,96,7.03919785439705,73.32497764996927,1249.4914965697046,2019-05-29T08:45:34
2,9,False,19,-8,-9,True,137,-376,171,6.44550157265689,37.69299165296427,827.9667867734793,2019-05-29T08:45:36
2,10,True,94,0,0,True,-548,-179,89,3.933347724010178,44.194918247305374,718.0480485315728,2019-05-29T08:45:37
2,11,False,94,-7,12,True,-172,-396,88,3.207379697646323,36.44749656416276,434.12555787467755,2019-05-29T08:45:37
2,12,True,19,0,0,True,693,274,32,6.85014780525889,214.0671189143403,1096.0328462231412,2019-05-29T08:45:39
2,13,False,19,-3,-9,True,443,480,100,5.091647575180139,50.916475751801386,323.93826572357887,2019-05-29T08:45:40
2,14,True,94,0,0,True,-197,-297,66,4.433388995212674,67.17256053352536,1015.5023387466914,2019-05-29T08:45:41
2,15,False,94,3,-7,True,-804,236,86,4.103262344669581,47.71235284499513,807.7982421372307,2019-05-29T08:45:42
2,16,True,19,0,0,True,-625,-43,8,5.157207672766358,644.6509590957947,338.9985250705377,2019-05-29T08:45:43
2,17,False,19,6,-4,True,373,100,107,6.729628525029912,62.89372453298983,1008.1929378844111,2019-05-29T08:45:44
2,18,True,94,0,0,True,-71,382,8,3.464377633723553,433.04720421544414,518.7754813018827,2019-05-29T08:45:45
2,19,False,94,-4,-15,True,-89,161,4,2.2380831595446518,559.5207898861629,221.73181999884454,2019-05-29T08:45:46
2,20,True,19,0,0,True,-148,58,197,3.8156263236949095,19.368661541598524,133.76471881628578,2019-05-29T08:45:47
2,21,False,19,-5,-2,True,-175,293,96,4.638049310956906,48.31301365580111,236.54597861726586,2019-05-29T08:45:48
2,22,True,94,0,0,True,-639,101,66,3.432789281431775,52.01195880957234,507.5401461953527,2019-05-29T08:45:49
2,23,False,94,3,-13,True,299,-204,99,4.391354162774665,44.35711275529964,986.3412188487308,2019-05-29T08:45:50
2,24,True,19,0,0,True,450,235,163,5.5753799659887395,34.20478506741558,452.98123581446504,2019-05-29T08:45:51
2,25,False,19,-3,-7,True,334,-365,137,6.007361862255134,43.849356658796594,611.1104646461228,2019-05-29T08:45:52
2,26,True,94,0,0,True,-498,-126,55,4.20468490315948,76.44881642108146,866.6308325925174,2019-05-29T08:45:53
2,27,False,94,-3,-10,True,471,-381,91,4.414065008927898,48.50620888931756,1001.9910179238135,2019-05-29T08:45:54
